List,Syns
"[1, 0]","[['podoconiosis'], ['Elephantiasis', 'elephantiasis']]"
"[1, 0]","[['obsolete familial hypophosphatemia', 'familial hypophosphataemia', 'Hypophosphatemia, familial'], ['obsolete complex genetic disease']]"
"[1, 0]","[['Mevalonate Kinase Deficiency', 'mevalonic aciduria'], ['benign paroxysmal peritonitis', 'familial Mediterranean fever']]"
"[1, 0]","[['nephronophthisis', 'medullary cystic kidney', 'medullary cystic disease'], ['Loken Senior syndrome', 'renal-retinal syndrome', 'Senior-Loken syndrome']]"
[0],"[['Brody myopathy'], ['Other specified myopathies'], ['Other specified myopathies'], ['Other specified myopathies']]"
"[2, 1, 0]","[['Prediabetes', 'prediabetic state', 'prediabetes syndrome'], ['Townes-Brocks syndrome'], ['Glucose: malabsorption', 'glucose intolerance', 'Glucose: intolerance', 'Malabsorption of glucose']]"
"[1, 0]","[['obsolete artemis deficiency'], ['benign vascular tumor']]"
[1],"[['Synthetase', 'Synthetases', 'Ligases'], ['Proto-Oncogene', 'Proto-Oncogenes'], ['Raphidae', 'Columbiformes']]"
"[1, 0]","[['Syphilitic pericarditisSyphilitic myocarditis', 'Syphilitic pericarditis', 'Other syphilitic heart involvement', 'Syphilitic myocarditis'], ['Good syndrome', 'thymoma with hypogammaglobulinemia']]"
[2],"[['familial periodic paralysis'], ['Hypokalemic periodic paralysis', 'familial hypokalemic periodic paralysis', 'hypokalemic periodic paralysis', 'Westphal disease', 'Periodic paralysis I', 'Hypokalemic familial periodic paralysis'], ['Timothy syndrome'], ['familial hyperkalemic periodic paralysis', 'hyperkalemic periodic paralysis']]"
"[1, 0]","[['chemical colitis'], ['diversion colitis']]"
"[1, 0]","[['cornea plana', 'flat cornea'], ['Peters anomaly']]"
"[1, 0]","[['Social Participation'], ['uvulitis', 'acute uvulitis']]"
[0],"[['omphalocele', 'omphalocoele'], ['Hernia', 'Enterocele'], ['umbilical hernia']]"
"[1, 0]","[['punctate palmoplantar keratoderma', 'punctate palmoplantar hyperkeratosis', 'punctate keratosis palmoplantaris'], ['Phenylhydrazines']]"
"[2, 1, 0]","[['Drug Incompatibility'], ['drug allergy'], ['drug dependence']]"
"[1, 0]","[['FBH', 'FHH', 'FBHH', 'familial benign hypocalciuric hypercalcemia', 'familial hypocalciuric hypercalcemia', 'familial benign hypercalcemia'], ['calcium metabolism disease']]"
"[1, 0]","[['polyepiphyseal dysplasia', 'multiple epiphyseal dysplasia'], ['osteochondrodysplasia', 'Congenital anomaly of cartilage', 'Osteochondrodysplasia syndrome', 'Cartilage Development disorder', 'chondrodystrophy']]"
[5],"[['dry beriberi'], ['Beriberi'], ['Beriberi'], ['wet beriberi'], ['beriberi'], ['thiamine deficiency disease']]"
[1],"[['Tear film insufficiency, NOS', 'Dry eye syndrome'], ['Conjunctival xerosis', 'xerophthalmia'], ['Tear film insufficiency', 'dry eye syndrome']]"
