List,Syns
[0],"[['livedoid vasculitis', 'livedoid vasculopathy'], ['Skin Diseases, Vascular', 'Vascular Skin Diseases'], ['vascular skin disease']]"
"[1, 0]","[['podoconiosis'], ['Elephantiasis', 'elephantiasis']]"
[3],"[['Chronic adenoiditis'], ['Serine Endopeptidases'], ['chronic adenoiditis', 'adenoiditis'], ['Spastic tetraplegia']]"
"[1, 0]","[['obsolete complex genetic disease'], ['obsolete familial hypophosphatemia', 'familial hypophosphataemia', 'Hypophosphatemia, familial']]"
[2],"[['Infections, Yersinia pseudotuberculosis', 'Pseudotuberculosis, Pasteurella', 'Yersinia pseudotuberculosis Infections'], ['obsolete Yersinia pseudotuberculosis gastroenteritis'], ['contact lens corneal edema'], ['Yersinia pseudotuberculosis']]"
"[1, 0]","[['benign paroxysmal peritonitis', 'familial Mediterranean fever'], ['Mevalonate Kinase Deficiency', 'mevalonic aciduria']]"
"[1, 0]","[['renal-retinal syndrome', 'Senior-Loken syndrome', 'Loken Senior syndrome'], ['medullary cystic kidney', 'nephronophthisis', 'medullary cystic disease']]"
"[1, 0]","[['partial albinism-immunodeficiency syndrome', 'Griscelli-Pruni��ras syndrome', 'Ch��diak-Higashi-like syndrome', 'Griscelli syndrome'], ['oculocutaneous albinism']]"
"[1, 0]","[['alternating hemiplegia of childhood', 'AHC'], ['nervous system disease']]"
"[1, 0]","[['Congenital biliary ectasias', 'POLYCYSTIC KIDNEY AND HEPATIC DISEASE 1', 'autosomal dominant polycystic kidney disease'], ['Meckel syndrome', 'Meckel-Gruber syndrome']]"
"[1, 0]","[['Adenoma, Villous'], ['villous adenoma']]"
"[1, 0]","[['Benign carcinoid tumors of the small intestine'], ['small intestine carcinoid neuroendocrine tumor']]"
"[1, 0]","[['Benign neoplasm of male genital organs'], ['male reproductive organ benign neoplasm']]"
[1],"[['Periodic paralysis I', 'Westphal disease', 'Hypokalemic familial periodic paralysis', 'familial hypokalemic periodic paralysis', 'hypokalemic periodic paralysis', 'Hypokalemic periodic paralysis'], ['Timothy syndrome'], ['familial periodic paralysis'], ['familial hyperkalemic periodic paralysis', 'hyperkalemic periodic paralysis']]"
"[1, 0]","[['flat cornea', 'cornea plana'], ['Peters anomaly']]"
"[1, 0]","[['omphalocoele', 'omphalocele'], ['umbilical hernia']]"
[4],"[['Spiral Lamina'], ['spina bifida'], ['Material Science', 'Materials Science'], ['spinal dysraphism', 'tethered spinal cord syndrome'], ['myelomeningocele'], ['Spondylolisthesis', 'Spondylisthesis'], ['Apiculture', 'Beekeeping'], ['Postmenopausal osteoporosis'], ['Nostoc muscorum']]"
[3],"[['autosomal dominant macrothrombocytopenia TUBB1-related'], ['autosomal dominant Glanzmann thrombasthenia', 'platelet-type bleeding disorder 16', 'autosomal dominant thrombasthenia of Glanzmann and Naegeli'], ['primary thrombocytopenia'], ['MYH-9 related disease']]"
"[1, 0]","[['familial benign hypercalcemia', 'FBH', 'familial hypocalciuric hypercalcemia', 'FBHH', 'FHH', 'familial benign hypocalciuric hypercalcemia'], ['calcium metabolism disease']]"
[5],"[['wet beriberi'], ['Beriberi'], ['beriberi'], ['dry beriberi'], ['Beriberi'], ['thiamine deficiency disease']]"
"[1, 0]","[['Svalbard', 'Spitsbergen'], ['amelogenesis imperfecta type 3B']]"
"[1, 0]","[['progressive pseudorheumatoid arthropathy of childhood', 'spondyloepiphyseal dysplasia tarda-progressive arthropathy syndrome'], ['Silverman-Handmaker type dyssegmental dysplasia']]"
[2],"[['Other disorders of thyroid'], ['Other disorders of thyroid'], ['thyroid lymphoma']]"
[2],"[['Tear film insufficiency', 'dry eye syndrome'], ['Dry eye syndrome', 'Tear film insufficiency, NOS'], ['xerophthalmia', 'Conjunctival xerosis']]"
[1],"[['Internuclear ophthalmoplegia'], [""Brown's sheath syndrome"", ""Brown's (tendon) sheath syndrome"", 'Brown tendon sheath syndrome', ""Brown's tendon sheath syndrome""], ['oculomotor paralysis', 'Total ophthalmoplegia', 'ophthalmoplegia'], ['Internuclear ophthalmoplegia'], ['ocular motility disease', 'eye movement disorder', 'disorder of eye movements'], ['internuclear ophthalmoplegia']]"
"[1, 0]","[[""Richter's syndrome"", 'Richter syndrome'], ['chronic lymphocytic leukemia', 'B-cell chronic lymphocytic leukemia', 'chronic lymphatic leukemia', 'CLL', 'B-cell chronic lymphoid leukemia']]"
