List,Syns
[0],"[['livedoid vasculitis', 'livedoid vasculopathy'], ['Skin Diseases, Vascular', 'Vascular Skin Diseases'], ['vascular skin disease']]"
"[1, 0]","[['podoconiosis'], ['Elephantiasis', 'elephantiasis']]"
"[1, 0]","[['benign paroxysmal peritonitis', 'familial Mediterranean fever'], ['Mevalonate Kinase Deficiency', 'mevalonic aciduria']]"
"[1, 0]","[['renal-retinal syndrome', 'Senior-Loken syndrome', 'Loken Senior syndrome'], ['medullary cystic kidney', 'nephronophthisis', 'medullary cystic disease']]"
"[1, 0]","[['partial albinism-immunodeficiency syndrome', 'Griscelli-Pruni��ras syndrome', 'Ch��diak-Higashi-like syndrome', 'Griscelli syndrome'], ['oculocutaneous albinism']]"
"[1, 0]","[['alternating hemiplegia of childhood', 'AHC'], ['nervous system disease']]"
"[1, 0]","[['Congenital biliary ectasias', 'POLYCYSTIC KIDNEY AND HEPATIC DISEASE 1', 'autosomal dominant polycystic kidney disease'], ['Meckel syndrome', 'Meckel-Gruber syndrome']]"
"[1, 0]","[['Adenoma, Villous'], ['villous adenoma']]"
[1],"[['Periodic paralysis I', 'Westphal disease', 'Hypokalemic familial periodic paralysis', 'familial hypokalemic periodic paralysis', 'hypokalemic periodic paralysis', 'Hypokalemic periodic paralysis'], ['Timothy syndrome'], ['familial periodic paralysis'], ['familial hyperkalemic periodic paralysis', 'hyperkalemic periodic paralysis']]"
"[1, 0]","[[""upper GI Crohn's disease"", ""gastroduodenal Crohn's disease""], ['jejunoileitis']]"
"[1, 0]","[['acquired epileptic aphasia', 'Landau-Kleffner syndrome'], ['photoparoxysmal response', 'photosensitive epilepsy', 'photogenic epilepsy']]"
"[1, 0]","[['flat cornea', 'cornea plana'], ['Peters anomaly']]"
"[1, 0]","[['omphalocoele', 'omphalocele'], ['umbilical hernia']]"
[2],"[['spina bifida'], ['spinal dysraphism', 'tethered spinal cord syndrome'], ['myelomeningocele']]"
[3],"[['autosomal dominant macrothrombocytopenia TUBB1-related'], ['autosomal dominant Glanzmann thrombasthenia', 'platelet-type bleeding disorder 16', 'autosomal dominant thrombasthenia of Glanzmann and Naegeli'], ['primary thrombocytopenia'], ['MYH-9 related disease']]"
"[1, 0]","[['familial benign hypercalcemia', 'FBH', 'familial hypocalciuric hypercalcemia', 'FBHH', 'FHH', 'familial benign hypocalciuric hypercalcemia'], ['calcium metabolism disease']]"
[5],"[['wet beriberi'], ['Beriberi'], ['beriberi'], ['dry beriberi'], ['Beriberi'], ['thiamine deficiency disease']]"
"[1, 0]","[['progressive pseudorheumatoid arthropathy of childhood', 'spondyloepiphyseal dysplasia tarda-progressive arthropathy syndrome'], ['Silverman-Handmaker type dyssegmental dysplasia']]"
"[1, 0]","[['Tear film insufficiency', 'dry eye syndrome'], ['xerophthalmia', 'Conjunctival xerosis']]"
[1],"[['Internuclear ophthalmoplegia'], [""Brown's sheath syndrome"", ""Brown's (tendon) sheath syndrome"", 'Brown tendon sheath syndrome', ""Brown's tendon sheath syndrome""], ['oculomotor paralysis', 'Total ophthalmoplegia', 'ophthalmoplegia'], ['Internuclear ophthalmoplegia'], ['ocular motility disease', 'eye movement disorder', 'disorder of eye movements'], ['internuclear ophthalmoplegia']]"
"[1, 0]","[[""Richter's syndrome"", 'Richter syndrome'], ['chronic lymphocytic leukemia', 'B-cell chronic lymphocytic leukemia', 'chronic lymphatic leukemia', 'CLL', 'B-cell chronic lymphoid leukemia']]"
[3],"[['critical illness polyneuropathy'], ['polyneuropathy'], ['Other polyneuropathies'], ['meningoencephalitis', 'Meningoencephalitis'], ['neuropathy', 'peripheral neuropathy']]"
"[1, 0]","[['glucose intolerance', 'Glucose: intolerance', 'Glucose: malabsorption', 'Malabsorption of glucose'], ['Prediabetes', 'prediabetic state', 'prediabetes syndrome']]"
"[1, 0]","[['renal failure', 'kidney failure'], ['UREMIA OF renal ORIGIN', 'uremia']]"
"[2, 1]","[['IgA glomerulonephritis', ""Berger's IgA or IgG nephropathy"", 'IGA glomerulonephritis', 'IgA nephropathy', 'Focal Glomerulonephritis'], ['Henoch-Sch@nlein purpura', 'Henoch-Sch?nlein purpura', 'Henoch-Schoenlein purpura', 'Autoimmune purpura', 'Allergic purpura'], ['hypersensitivity vasculitis'], ['Goodpasture syndrome', 'anti-GBM disease', 'anti-glomerular basement membrane disease']]"
"[1, 0]","[[""Folds and rupture in Bowman's membrane""], [""Bowman's membrane folds or rupture"", 'Bowman membrane folds or rupture']]"
