ID,Syn
"DOID: 60000,BlockL1-DB1","['appendix disease'],['Diseases of appendix']"
"DOID: 13185,Mesh:D045723","['esophageal diverticulosis'],['Diverticulosis, Esophageal','Esophageal Diverticulosis']"
"DOID: 11151,Mesh:D041761","['cholecystolithiasis'],['Cholecystolithiasis']"
"Mesh:D002769,DC11,DOID: 10211","['Cholelithiasis'],['Cholelithiasis'],['cholelithiasis']"
"DC10.1,DOID: 9717","['Hydrops of gallbladder'],['hydrops of gallbladder']"
"Mesh:D001660,DOID: 9741","['Biliary Tract Diseases'],['biliary tract disease']"
"Mesh:D002761,DC13,DOID: 9446","['Cholangitis'],['Cholangitis'],['cholangitis']"
"DB96.2,DOID: 0060643","['Primary sclerosing cholangitis'],['primary sclerosing cholangitis']"
"DOID: 0070227,DOID: 1852","['intrahepatic cholestasis of pregnancy'],['intrahepatic cholestasis of pregnancy','intrahepatic cholestasis']"
"Mesh:D003137,DOID: 4137","['Common Bile Duct Diseases'],['common bile duct disease']"
"DOID: 12237,Mesh:D001655","['bile reflux'],['Bile Reflux']"
"DC14.1,DOID: 9740","['Postcholecystectomy syndrome'],['postcholecystectomy syndrome']"
"DB99.2,DOID: 11823,Mesh:D006530","['Hepatorenal syndrome'],['hepatorenal syndrome'],['Hepatorenal Syndrome']"
"Mesh:D007410,DOID: 5295","['Intestinal Diseases'],['intestinal disease']"
"Mesh:D003109,DOID: 3877","['Colonic Diseases, Functional','Functional Colonic Diseases'],['functional colonic disease']"
"Mesh:D008532,DOID: 1770,DB32.20","['Megacolon, Toxic','Toxic Megacolon'],['toxic megacolon'],['Toxic megacolon']"
"Mesh:D004238,DOID: 7475","['Diverticulitis'],['diverticulitis']"
"Mesh:D004380,DOID: 3558","['Duodenal Obstruction'],['duodenal obstruction']"
"DOID: 0050589,BlockL1-DD7,Mesh:D015212","['inflammatory bowel disease'],['Inflammatory bowel diseases'],['Bowel Diseases, Inflammatory','Inflammatory Bowel Diseases']"
"DOID: 0060180,Mesh:D003092","['colitis'],['Colitis']"
"DB33.3,DOID: 0060187","['Diversion colitis'],['diversion colitis']"
"DOID: 0060181,Mesh:D017091","['ischemic colitis'],['Ischemic Colitis','Colitis, Ischemic']"
"Mesh:D046728,DOID: 0060182,DB33.1","['Microscopic Colitis','Colitis, Microscopic'],['microscopic colitis'],['Microscopic colitis']"
"DB33.10,DOID: 0060183,Mesh:D046729","['Collagenous colitis'],['collagenous colitis'],['Colitis, Collagenous','Collagenous Colitis']"
"DB33.11,Mesh:D046730,DOID: 0060184","['Lymphocytic colitis'],['Colitis, Lymphocytic','Lymphocytic Colitis'],['lymphocytic colitis']"
"DOID: 8577,DD71.1","['ulcerative colitis','Left-sided ulcerative colitis'],['Left sided ulcerative colitis']"
"DD51,DOID: 0060320","['Inguinal hernia'],['inguinal hernia']"
"Mesh:D007415,DOID: 8437","['Intestinal Obstruction'],['intestinal obstruction']"
"DOID: 8442,DA93.0","['paralytic ileus'],['Paralytic ileus']"
"Mesh:D007416,DOID: 2074","['Intestinal Perforation'],['intestinal perforation','Perforation of intestine']"
"DOID: 13419,Mesh:D055496","['neurogenic bowel'],['Neurogenic Bowel']"
"DOID: 0060328,DB50.1","['anal fistula'],['Anal fistula']"
"DOID: 11374,DB72.0","['anal spasm'],['Anal spasm']"
"DOID: 3127,Mesh:D011349","['proctitis'],['Proctitis']"
"DOID: 0060321,DD53","['umbilical hernia'],['Umbilical hernia']"
"Mesh:D009059,DOID: 403","['Mouth Diseases'],['mouth disease']"
"Mesh:D008047,DOID: 9297","['Lip Diseases'],['lip disease','disease of lips']"
"Mesh:D002613,DA00.0,DOID: 1762","['Cheilitis'],['Cheilitis'],['cheilitis']"
"DOID: 0060315,Mesh:D017733","['hairy leukoplakia','oral hairy leukoplakia'],['Leukoplakia, Hairy, Oral','Leukoplakia, Hairy','Oral Hairy Leukoplakia']"
"Mesh:D010305,DOID: 10302","['Parotid Diseases'],['parotid disease']"
"Mesh:D013364,DOID: 12897","['Submandibular Gland Diseases'],['submandibular gland disease']"
"DOID: 9672,Mesh:D009625","['Gangrenous stomatitis','Cancrum oris','noma'],['Stomatitis, Gangrenous','Cancrum Oris','Noma']"
"DOID: 10944,DA03","['tongue disease'],['Diseases of tongue']"
"DOID: 1456,DA03.0,Mesh:D005928","['glossitis'],['Glossitis'],['Glossitis']"
"DA09.4,DOID: 11189","['Pulp degeneration'],['pulp degeneration']"
"DA09.0,DOID: 11121","['Pulpitis'],['pulpitis']"
"DA0B,DOID: 1483","['Gingival diseases'],['gingival disease']"
"Mesh:D010497,DA0B.6,DOID: 3671","['Pericoronitis'],['Pericoronitis'],['pericoronitis']"
"DOID: 9893,DA0C.2","['periodontosis'],['Periodontosis']"
"DOID: 214,DA08","['teeth hard tissue disease'],['Diseases of hard tissues of teeth']"
"DOID: 701,Mesh:D003805","['dentin dysplasia','Dentinal dysplasia'],['Dentin Dysplasia']"
"Mesh:D014091,DOID: 13240","['Tooth Resorption'],['tooth resorption']"
