List,Syns
"[1, 0]","[['podoconiosis'], ['Elephantiasis', 'elephantiasis']]"
"[1, 0]","[['Mevalonate Kinase Deficiency', 'mevalonic aciduria'], ['benign paroxysmal peritonitis', 'familial Mediterranean fever']]"
"[1, 0]","[['nephronophthisis', 'medullary cystic kidney', 'medullary cystic disease'], ['Loken Senior syndrome', 'renal-retinal syndrome', 'Senior-Loken syndrome']]"
"[1, 0]","[['nervous system disease'], ['alternating hemiplegia of childhood', 'AHC']]"
"[1, 0]","[['withdrawal disorder'], ['pulmonary artery disease']]"
"[1, 0]","[['malignant cystadenoma'], ['autoimmune disease of central nervous system']]"
"[1, 0]","[['obsolete artemis deficiency'], ['benign vascular tumor']]"
[2],"[['familial periodic paralysis'], ['Hypokalemic periodic paralysis', 'familial hypokalemic periodic paralysis', 'hypokalemic periodic paralysis', 'Westphal disease', 'Periodic paralysis I', 'Hypokalemic familial periodic paralysis'], ['Timothy syndrome'], ['familial hyperkalemic periodic paralysis', 'hyperkalemic periodic paralysis']]"
"[1, 0]","[['chemical colitis'], ['diversion colitis']]"
"[1, 0]","[[""upper GI Crohn's disease"", ""gastroduodenal Crohn's disease""], ['jejunoileitis']]"
"[1, 0]","[['cornea plana', 'flat cornea'], ['Peters anomaly']]"
"[1, 0]","[['omphalocele', 'omphalocoele'], ['umbilical hernia']]"
[0],"[['myelomeningocele'], ['spina bifida'], ['tethered spinal cord syndrome', 'spinal dysraphism']]"
"[1, 0]","[['FBH', 'FHH', 'FBHH', 'familial benign hypocalciuric hypercalcemia', 'familial hypocalciuric hypercalcemia', 'familial benign hypercalcemia'], ['calcium metabolism disease']]"
[5],"[['dry beriberi'], ['Beriberi'], ['Beriberi'], ['wet beriberi'], ['beriberi'], ['thiamine deficiency disease']]"
[2],"[['lymphoid hamartoma', 'angiofollicular lymph node hyperplasia', 'angiofollicular lymph hyperplasia', 'giant lymph node hyperplasia', 'Castleman disease'], ['skin epithelioid hemangioma', 'Angiolymphoid Cutaneous hyperplasia', 'epithelioid hemangioma of skin'], ['Kimura disease', ""Kimura's disease""]]"
[1],"[['Tear film insufficiency, NOS', 'Dry eye syndrome'], ['Conjunctival xerosis', 'xerophthalmia'], ['Tear film insufficiency', 'dry eye syndrome']]"
[2],"[['papilledema'], ['Optic papillitis'], ['retinal edema'], ['optic papillitis', 'papillitis'], ['Papilledema']]"
"[2, 0]","[[""Brown's sheath syndrome"", 'Brown tendon sheath syndrome', ""Brown's (tendon) sheath syndrome"", ""Brown's tendon sheath syndrome""], ['Internuclear ophthalmoplegia'], ['disorder of eye movements', 'eye movement disorder', 'ocular motility disease'], ['ophthalmoplegia', 'oculomotor paralysis', 'Total ophthalmoplegia'], ['Internuclear ophthalmoplegia'], ['internuclear ophthalmoplegia']]"
"[1, 0]","[[""Richter's syndrome"", 'Richter syndrome'], ['CLL', 'B-cell chronic lymphoid leukemia', 'B-cell chronic lymphocytic leukemia', 'chronic lymphocytic leukemia', 'chronic lymphatic leukemia']]"
[0],"[['meningoencephalitis', 'Meningoencephalitis'], ['polyneuropathy'], ['critical illness polyneuropathy'], ['Other polyneuropathies'], ['neuropathy', 'peripheral neuropathy']]"
"[1, 0]","[['Glucose: malabsorption', 'glucose intolerance', 'Glucose: intolerance', 'Malabsorption of glucose'], ['Prediabetes', 'prediabetic state', 'prediabetes syndrome']]"
[2],"[['ovarian disease'], ['Ovarian Diseases'], ['Collagen Diseases']]"
[0],"[['hypersensitivity vasculitis'], ['anti-glomerular basement membrane disease', 'Goodpasture syndrome', 'anti-GBM disease'], ['Henoch-Sch@nlein purpura', 'Allergic purpura', 'Henoch-Schoenlein purpura', 'Henoch-Sch?nlein purpura', 'Autoimmune purpura'], ['IgA nephropathy', 'IGA glomerulonephritis', ""Berger's IgA or IgG nephropathy"", 'IgA glomerulonephritis', 'Focal Glomerulonephritis']]"
"[1, 0]","[['polyradiculopathy', 'Polyradiculopathy'], ['Cauda equina syndrome']]"
[0],"[['Thyroid insufficiency', 'hypothyroidism', 'Thyroid deficiency'], ['Myxedema'], ['myxedema']]"
[2],"[['obsolete syphilitic pericarditis', 'Syphilitic pericarditis (disorder)'], ['Syphilitic alopecia (disorder)', 'obsolete syphilitic alopecia'], ['congenital abnormality', 'obsolete congenital disorder']]"
[0],"[['coronary thrombosis', 'Coronary artery thrombosis'], ['heart attack', 'Myocardial infarct', 'myocardial infarction'], ['acute myocardial infarction']]"
[1],"[['Diverticulum of appendix'], ['beta thalassemia'], ['Diverticulum of appendix']]"
"[1, 0]","[['delusional disorder'], ['chronic paranoid schizophrenia', 'paranoid schizophrenia', 'Paraphrenic schizophrenia', 'Paranoid type schizophrenia', 'Paraphrenia - late']]"
"[1, 0]","[['primary cancer', 'cancer', 'malignant neoplasm', 'malignant tumor'], ['Dermatophytosis of foot', 'tinea pedis', ""Athlete's foot"", 'ringworm of foot']]"
[1],"[['facial nerve disease'], ['geniculate ganglionitis'], [""Bell's palsy"", 'facial weakness following cerebrovascular disease', 'Facial droop', 'Facial weakness'], ['Facial palsy', ""Bell's palsy""], ['Facial Palsy', 'facial paralysis'], [""Bell's (facial) palsy"", ""Bell's palsy"", 'Bell palsy']]"
"[1, 0]","[['Retinal dialysis', 'retinal perforation', 'Retinal tear', 'Retinal break'], ['macular holes', 'Macular hole']]"
"[1, 0]","[['locked-in syndrome', 'Locked in syndrome', 'Locked-in state'], ['tetraplegia', 'quadriplegia']]"
"[1, 0]","[['osteochondrodysplasia', 'Congenital anomaly of cartilage', 'Osteochondrodysplasia syndrome', 'Cartilage Development disorder', 'chondrodystrophy'], ['polyepiphyseal dysplasia', 'multiple epiphyseal dysplasia']]"
"[1, 0]","[['Penile Lichen Sclerosus', 'balanitis xerotica obliterans'], ['Kraurosis of penis', 'leukoplakia of penis', 'Penile Leukoplakia']]"
[2],"[['Duodenal Obstruction'], ['duodenal obstruction'], ['chronic duodenal ileus']]"
