List,Syns
"[1, 0]","[['podoconiosis'], ['Elephantiasis', 'elephantiasis']]"
[3],"[['Serine Endopeptidases'], ['chronic adenoiditis', 'adenoiditis'], ['Chronic adenoiditis'], ['Spastic tetraplegia']]"
"[1, 0]","[['obsolete familial hypophosphatemia', 'familial hypophosphataemia', 'Hypophosphatemia, familial'], ['obsolete complex genetic disease']]"
"[1, 0]","[['Mevalonate Kinase Deficiency', 'mevalonic aciduria'], ['benign paroxysmal peritonitis', 'familial Mediterranean fever']]"
"[1, 0]","[['nephronophthisis', 'medullary cystic kidney', 'medullary cystic disease'], ['Loken Senior syndrome', 'renal-retinal syndrome', 'Senior-Loken syndrome']]"
"[1, 0]","[['nervous system disease'], ['alternating hemiplegia of childhood', 'AHC']]"
[2],"[['malignant cystadenoma'], ['Malignant neoplasm of cloacogenic zone'], ['autoimmune disease of central nervous system']]"
"[1, 0]","[['obsolete artemis deficiency'], ['benign vascular tumor']]"
[2],"[['familial periodic paralysis'], ['Hypokalemic periodic paralysis', 'familial hypokalemic periodic paralysis', 'hypokalemic periodic paralysis', 'Westphal disease', 'Periodic paralysis I', 'Hypokalemic familial periodic paralysis'], ['Timothy syndrome'], ['familial hyperkalemic periodic paralysis', 'hyperkalemic periodic paralysis']]"
"[1, 0]","[['chemical colitis'], ['diversion colitis']]"
"[1, 0]","[['cornea plana', 'flat cornea'], ['Peters anomaly']]"
"[1, 0]","[['omphalocele', 'omphalocoele'], ['umbilical hernia']]"
[2],"[['Postmenopausal osteoporosis'], ['tethered spinal cord syndrome', 'spinal dysraphism'], ['myelomeningocele'], ['Beekeeping', 'Apiculture'], ['Nostoc muscorum'], ['Spondylolisthesis', 'Spondylisthesis'], ['Materials Science', 'Material Science'], ['spina bifida'], ['Spiral Lamina']]"
"[1, 0]","[['FBH', 'FHH', 'FBHH', 'familial benign hypocalciuric hypercalcemia', 'familial hypocalciuric hypercalcemia', 'familial benign hypercalcemia'], ['calcium metabolism disease']]"
[5],"[['dry beriberi'], ['Beriberi'], ['Beriberi'], ['wet beriberi'], ['beriberi'], ['thiamine deficiency disease']]"
[1],"[['Tear film insufficiency, NOS', 'Dry eye syndrome'], ['Conjunctival xerosis', 'xerophthalmia'], ['Tear film insufficiency', 'dry eye syndrome']]"
[2],"[['papilledema'], ['Optic papillitis'], ['retinal edema'], ['optic papillitis', 'papillitis'], ['Papilledema']]"
"[2, 0]","[[""Brown's sheath syndrome"", 'Brown tendon sheath syndrome', ""Brown's (tendon) sheath syndrome"", ""Brown's tendon sheath syndrome""], ['Internuclear ophthalmoplegia'], ['disorder of eye movements', 'eye movement disorder', 'ocular motility disease'], ['ophthalmoplegia', 'oculomotor paralysis', 'Total ophthalmoplegia'], ['Internuclear ophthalmoplegia'], ['internuclear ophthalmoplegia']]"
"[1, 0]","[[""Richter's syndrome"", 'Richter syndrome'], ['CLL', 'B-cell chronic lymphoid leukemia', 'B-cell chronic lymphocytic leukemia', 'chronic lymphocytic leukemia', 'chronic lymphatic leukemia']]"
[0],"[['meningoencephalitis', 'Meningoencephalitis'], ['polyneuropathy'], ['critical illness polyneuropathy'], ['Other polyneuropathies'], ['neuropathy', 'peripheral neuropathy']]"
"[1, 0]","[['Glucose: malabsorption', 'glucose intolerance', 'Glucose: intolerance', 'Malabsorption of glucose'], ['Prediabetes', 'prediabetic state', 'prediabetes syndrome']]"
[2],"[['ovarian disease'], ['Ovarian Diseases'], ['Collagen Diseases']]"
